model-1589910291,1589910291.848,0.43,0.2522,0.52,0.25
model-1589910291,1589910291.948,0.54,0.2498,0.5,0.2508
model-1589910291,1589910292.05,0.52,0.2495,0.53,0.2497
model-1589910291,1589910292.154,0.59,0.2494,0.5,0.2506
model-1589910291,1589910292.256,0.46,0.2512,0.54,0.25
model-1589910291,1589910292.354,0.57,0.2494,0.46,0.2504
model-1589910291,1589910292.447,0.45,0.251,0.55,0.2495
model-1589910291,1589910292.554,0.5,0.2496,0.54,0.2494
model-1589910291,1589910292.657,0.47,0.25,0.61,0.249
model-1589910291,1589910292.761,0.49,0.2498,0.52,0.2505
model-1589910291,1589910292.859,0.52,0.2483,0.52,0.2494
model-1589910291,1589910292.953,0.5,0.2493,0.47,0.2544
model-1589910291,1589910293.051,0.46,0.2523,0.4,0.2538
model-1589910291,1589910293.144,0.53,0.2481,0.5,0.2494
model-1589910291,1589910293.248,0.5,0.2493,0.55,0.2502
model-1589910291,1589910293.361,0.59,0.2484,0.5,0.2501
model-1589910291,1589910293.464,0.58,0.2478,0.51,0.2487
model-1589910291,1589910293.559,0.48,0.2498,0.43,0.2526
model-1589910291,1589910293.659,0.66,0.2454,0.5,0.2496
model-1589910291,1589910293.755,0.55,0.2445,0.49,0.2539
model-1589910291,1589910293.849,0.48,0.2569,0.52,0.253
model-1589910291,1589910293.956,0.41,0.2617,0.43,0.2537
model-1589910291,1589910294.049,0.47,0.2465,0.53,0.2485
model-1589910291,1589910294.155,0.53,0.2484,0.57,0.248
model-1589910291,1589910294.258,0.62,0.2466,0.61,0.2466
model-1589910291,1589910294.363,0.49,0.25,0.5,0.2503
model-1589910291,1589910294.47,0.52,0.2486,0.56,0.2479
model-1589910291,1589910294.561,0.62,0.2437,0.47,0.2524
model-1589910291,1589910294.666,0.56,0.247,0.52,0.2483
model-1589910291,1589910294.771,0.58,0.2422,0.51,0.2494
model-1589910291,1589910294.875,0.56,0.2482,0.51,0.2466
model-1589910291,1589910294.971,0.5,0.2471,0.57,0.244
model-1589910291,1589910295.063,0.5,0.2432,0.52,0.2524
model-1589910291,1589910295.156,0.55,0.243,0.56,0.2454
model-1589910291,1589910295.251,0.5,0.2465,0.48,0.2545
model-1589910291,1589910295.357,0.47,0.2547,0.6,0.2344
model-1589910291,1589910295.448,0.56,0.2466,0.53,0.247
model-1589910291,1589910295.555,0.57,0.2456,0.55,0.2471
model-1589910291,1589910295.649,0.5,0.2526,0.5,0.2557
model-1589910291,1589910295.749,0.58,0.2421,0.41,0.256
model-1589910291,1589910295.853,0.57,0.2438,0.47,0.2576
model-1589910291,1589910295.949,0.6,0.2469,0.55,0.2452
model-1589910291,1589910296.058,0.6,0.2395,0.62,0.2343
model-1589910291,1589910296.167,0.56,0.2409,0.56,0.2435
model-1589910291,1589910296.276,0.55,0.2396,0.63,0.2318
model-1589910291,1589910296.371,0.69,0.2187,0.57,0.2369
model-1589910291,1589910296.464,0.58,0.2318,0.58,0.2359
model-1589910291,1589910296.575,0.58,0.2276,0.55,0.2625
model-1589910291,1589910296.674,0.57,0.2435,0.58,0.2357
model-1589910291,1589910296.8,0.74,0.2192,0.58,0.2339
model-1589910291,1589910296.897,0.58,0.2266,0.63,0.2345
model-1589910291,1589910296.994,0.66,0.2144,0.63,0.2286
model-1589910291,1589910297.09,0.55,0.2389,0.64,0.2301
model-1589910291,1589910297.184,0.65,0.2339,0.5,0.2609
model-1589910291,1589910297.286,0.68,0.229,0.59,0.25
model-1589910291,1589910297.391,0.57,0.2571,0.7,0.2164
model-1589910291,1589910297.494,0.58,0.2684,0.63,0.2277
model-1589910291,1589910297.603,0.59,0.252,0.52,0.2641
model-1589910291,1589910297.712,0.55,0.2436,0.59,0.2244
model-1589910291,1589910297.818,0.63,0.233,0.59,0.2378
model-1589910291,1589910297.925,0.58,0.2323,0.59,0.2354
model-1589910291,1589910298.036,0.54,0.269,0.54,0.2518
model-1589910291,1589910298.143,0.58,0.2367,0.57,0.2288
model-1589910291,1589910298.238,0.54,0.2387,0.53,0.2628
model-1589910291,1589910298.337,0.47,0.264,0.53,0.2492
model-1589910291,1589910298.438,0.52,0.2364,0.58,0.2392
